acronym;title;ranksys;rank;field;gs_publication;gs_query_used;gs_match_stage;h5_index;h5_median;gs_smilarity
M2VIP;Mechatronics and Machine Vision in Practice;CORE2018;B;Machine learning;International Conference on Mechatronics and Machine Vision in Practice;mechatronics machine vision practice;MATCH;9;12;0.754386
MDAI;International Conference on Modelling Decisions for Artificial Intelligence;CORE2023;B;Artificial intelligence;Modeling Decisions for Artificial Intelligence;modelling decisions artificial intelligence;FALLBACK 2 WORDS REMOVED MATCH;9;11;0.760331
MDM;International Conference on Mobile Data Management;CORE2023;B;Data management and data science;International Conference on Mobile Data Management;international conference mobile data management;MATCH;16;27;1.000000
MMM;International Conference on Multimedia Modelling;CORE2023;B;Computer vision and multimedia computation;NA;NA;NO MATCH;NA;NA;NA
NAACL;North American Association for Computational Linguistics;CORE2023;A;Artificial intelligence;Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (HLT-NAACL);north american association computational linguistics;MATCH;126;202;0.612022
NeurIPS;Advances in Neural Information Processing Systems;CORE2023;A*;Machine learning;Neural Information Processing Systems;neural information processing systems;FALLBACK 1 WORD REMOVED MATCH;371;637;0.860465
PAKDD;Pacific-Asia Conference on Knowledge Discovery and Data Mining;CORE2023;B;Data management and data science;Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD);pacific asia conference knowledge discovery data mining;MATCH;33;49;0.953846
PODS;ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems;CORE2023;A*;Data management and data science;ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems;on principles of database systems;FALLBACK MODE 3 MATCH;22;31;0.875912
PPSN;Parallel Problem Solving from Nature;CORE2023;A;Machine learning;International Conference on Parallel Problem Solving from Nature;parallel problem solving from nature;MATCH;22;41;0.720000
PRICAI;Pacific Rim International Conference on Artificial Intelligence;CORE2023;B;Artificial intelligence;Pacific Rim International Conference on Artificial Intelligence (PRICAI);pacific rim international conference artificial intelligence;MATCH;14;19;0.947368
PRIMA;International Conference on Principles of Practice in Multi-Agent Systems;CORE2023;B;Artificial intelligence;Pacific Rim International Conference on Multi-Agents (PRIMA);PRIMA;ACRONYM MATCH;8;9;0.625954
RSS;Robotics: Science and Systems;CORE2018;A*;Machine learning;Robotics: Science and Systems;robotics science systems;MATCH;83;129;1.000000
RecSys;ACM International Conference on Recommender Systems;CORE2023;A;Data management and data science;NA;NA;NO MATCH;NA;NA;NA
RuleML+RR;International Joint Conference on Rules and Reasoning;CORE2023;B;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
SAT;International Conference on Theory and Applications of Satisfiability Testing;CORE2023;A;Artificial intelligence;Theory and Applications of Satisfiability Testing;theory applications satisfiability testing;FALLBACK 2 WORDS REMOVED MATCH;20;28;0.777778
SDM;SIAM International Conference on Data Mining;CORE2023;A;Data management and data science;SIAM International Conference on Data Mining (SDM);siam international conference data mining;MATCH;36;66;0.956522
SIGIR;ACM International Conference on Research and Development in Information Retrieval;CORE2023;A*;Data management and data science;ACM SIGIR Conference on Research and Development in Information Retrieval;SIGIR;ACRONYM MATCH;123;175;0.909091
SIGMOD;ACM Special Interest Group on Management of Data Conference;CORE2023;A*;Data management and data science;ACM SIGMOD International Conference on Management of Data;SIGMOD;ACRONYM MATCH;74;110;0.620690
SIGdial;Annual Meeting of the Special Interest Group on Discourse and Dialog;CORE2023;B;Artificial intelligence;Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL);annual meeting special interest group discourse dialog;MATCH;26;57;0.931507
SISAP;International Conference on Similarity Search and Applications;CORE2023;B;Data management and data science;Similarity Search and Applications;similarity search applications;FALLBACK 2 WORDS REMOVED MATCH;12;19;0.708333
SSDBM;International Conference on Scientific and Statistical Data Base Management;CORE2023;B;Data management and data science;Statistical and Scientific Database Management (SSDBM);SSDBM;ACRONYM MATCH;13;17;0.614173
SSPR;Structural and Syntactical Pattern Recognition;CORE2023;B;Computer vision and multimedia computation;NA;NA;NO MATCH;NA;NA;NA
SoCS;The Symposium of Combinatorial Search;CORE2023;B;Artificial intelligence;Symposium on Combinatorial Search;symposium combinatorial search;MATCH;20;39;0.914286
TPDL;International Conference on Theory and Practice of Digital Libraries;CORE2023;B;Data management and data science;International Conference on Theory and Practice of Digital Libraries;international conference theory practice digital libraries;MATCH;13;20;1.000000
UAI;Conference in Uncertainty in Artificial Intelligence;CORE2023;A;Artificial intelligence;Conference on Uncertainty in Artificial Intelligence (UAI);conference uncertainty artificial intelligence;MATCH;50;85;0.944444
VLDB;International Conference on Very Large Databases;CORE2023;A*;Data management and data science;International Conference on Very Large Databases;international conference very large databases;MATCH;90;125;1.000000
WACV;IEEE Workshop on Applications of Computer Vision;CORE2023;A;Computer vision and multimedia computation;IEEE/CVF Winter Conference on Applications of Computer Vision (WACV);ieee workshop applications computer vision;MATCH;131;211;0.754386
WI;IEEE/WIC/ACM International Conference on Web Intelligence;CORE2023;B;Artificial intelligence;NA;NA;FALLBACK MODE 3 SIMILARITY CHECK FAILED;NA;NA;NA
WISE;International Conference on Web Information Systems Engineering;CORE2023;B;Data management and data science;Web Information Systems Engineering (WISE);WISE;ACRONYM MATCH;17;21;0.679612
WSDM;ACM International Conference on Web Search and Data Mining;CORE2023;A;Data management and data science;ACM International Conference on Web Search and Data Mining;acm international conference web search data mining;MATCH;86;135;1.000000
